record_id,framework,fiscal_year,quarter,status,controls_total,controls_passed,pass_rate_pct,findings_open,findings_closed,risk_level,auditor,next_review_date,clearance_level
COMP-GDPR-2022-Q1,GDPR,2022,Q1,COMPLIANT,110,79,71.8,6,28,LOW,KPMG,2022-05-30,3
COMP-GDPR-2022-Q2,GDPR,2022,Q2,UNDER_REVIEW,193,162,83.9,16,36,CRITICAL,Deloitte,2022-08-30,3
COMP-GDPR-2022-Q3,GDPR,2022,Q3,COMPLIANT,173,157,90.8,10,57,LOW,Deloitte,2022-11-30,3
COMP-GDPR-2022-Q4,GDPR,2022,Q4,COMPLIANT,192,173,90.1,13,54,LOW,PwC,2023-03-01,3
COMP-GDPR-2023-Q1,GDPR,2023,Q1,PARTIAL,167,160,95.8,9,37,LOW,Deloitte,2023-05-30,3
COMP-GDPR-2023-Q2,GDPR,2023,Q2,COMPLIANT,175,141,80.6,13,28,CRITICAL,PwC,2023-08-30,3
COMP-GDPR-2023-Q3,GDPR,2023,Q3,COMPLIANT,215,205,95.3,13,55,LOW,PwC,2023-11-30,3
COMP-GDPR-2023-Q4,GDPR,2023,Q4,PARTIAL,185,154,83.2,13,34,HIGH,KPMG,2024-02-29,3
COMP-GDPR-2024-Q1,GDPR,2024,Q1,COMPLIANT,193,145,75.1,4,54,LOW,Internal Audit,2024-05-30,3
COMP-GDPR-2024-Q2,GDPR,2024,Q2,COMPLIANT,101,87,86.1,10,25,MEDIUM,PwC,2024-08-30,3
COMP-GDPR-2024-Q3,GDPR,2024,Q3,PARTIAL,95,81,85.3,12,53,LOW,PwC,2024-11-30,3
COMP-GDPR-2024-Q4,GDPR,2024,Q4,NON-COMPLIANT,94,81,86.2,16,23,MEDIUM,EY,2025-03-01,3
COMP-SOC2-2022-Q1,SOC2 Type II,2022,Q1,UNDER_REVIEW,221,161,72.9,9,51,CRITICAL,KPMG,2022-05-30,3
COMP-SOC2-2022-Q2,SOC2 Type II,2022,Q2,COMPLIANT,82,75,91.5,8,38,HIGH,PwC,2022-08-30,3
COMP-SOC2-2022-Q3,SOC2 Type II,2022,Q3,UNDER_REVIEW,183,134,73.2,14,46,LOW,Internal Audit,2022-11-30,3
COMP-SOC2-2022-Q4,SOC2 Type II,2022,Q4,NON-COMPLIANT,238,232,97.5,14,49,MEDIUM,EY,2023-03-01,3
COMP-SOC2-2023-Q1,SOC2 Type II,2023,Q1,COMPLIANT,157,136,86.6,2,7,HIGH,KPMG,2023-05-30,3
