fiscal_year,quarter,revenue,cogs,gross_profit,gross_margin_pct,opex,ebitda,ebitda_margin_pct,net_income,capex,headcount,clearance_level
2022,Q1,43605951,17548941,26057010,59.76,11552608,14504402,33.26,9689972,3556167,466,3
2022,Q2,25450359,12581091,12869268,50.57,7850493,5018775,19.72,3834386,1545978,622,3
2022,Q3,34844563,15065207,19779356,56.76,9011382,10767974,30.9,6124492,1784980,583,3
2022,Q4,21324677,10608700,10715977,50.25,6077449,4638528,21.75,3395483,999700,566,3
2023,Q1,33852956,16163096,17689860,52.25,7917504,9772356,28.87,6960588,2113442,422,3
2023,Q2,20658375,7905145,12753230,61.73,4990350,7762880,37.58,4536545,1797512,731,3
2023,Q3,35709073,15685412,20023661,56.07,10627636,9396025,26.31,5681374,1645917,542,3
2023,Q4,32087007,15063349,17023658,53.05,9057554,7966104,24.83,4496432,2625820,675,3
2024,Q1,38023239,17302380,20720859,54.5,10768009,9952850,26.18,6790440,2886998,569,3
2024,Q2,32402867,12320185,20082682,61.98,8271855,11810827,36.45,8046157,1599590,762,3
2024,Q3,20872727,9461353,11411374,54.67,5344678,6066696,29.07,4667005,1402732,679,3
2024,Q4,36594254,14009993,22584261,61.72,11246627,11337634,30.98,6349221,2171651,611,3
