asset_id,category,item_name,quantity,unit_cost_usd,total_value_usd,location,status,last_audit_date,assigned_dept,clearance_level
AST-5000,Laptops,Laptops Model B-257,291,14139.66,4114641.13,London Office,DECOMMISSIONED,2024-11-18,Executive,1
AST-5001,Data Center Assets,Data Center Assets Model X-309,294,15607.0,4588458.42,Singapore DC,IN_USE,2024-09-30,IT,1
AST-5002,Network Equipment,Network Equipment Model Pro-562,244,1968.86,480402.04,London Office,IN_USE,2024-03-28,Finance,1
AST-5003,Security Hardware,Security Hardware Model Lite-717,91,591.58,53834.13,Singapore DC,IN_USE,2024-04-05,Operations,1
AST-5004,Monitors,Monitors Model C-310,467,17334.46,8095191.46,SF Office,AVAILABLE,2024-12-03,Compliance,1
AST-5005,Monitors,Monitors Model Pro-111,233,1048.3,244252.84,SF Office,AVAILABLE,2024-07-29,IT,1
AST-5006,Servers,Servers Model X-589,57,2337.54,133239.84,NYC HQ,MAINTENANCE,2024-04-15,HR,1
AST-5007,Network Equipment,Network Equipment Model Lite-780,159,7788.13,1238312.54,Singapore DC,IN_USE,2024-11-05,Executive,1
AST-5008,Peripherals,Peripherals Model Lite-801,301,3665.47,1103305.43,Singapore DC,AVAILABLE,2024-04-13,Engineering,1
AST-5009,Servers,Servers Model X-719,229,1165.5,266899.78,SF Office,DECOMMISSIONED,2024-06-17,Executive,1
AST-5010,Mobile Devices,Mobile Devices Model A-854,236,8336.58,1967432.35,NYC HQ,AVAILABLE,2024-11-26,Marketing,1
AST-5011,Software Licenses,Software Licenses Model C-500,359,15169.87,5445983.67,Mumbai Office,IN_USE,2024-07-31,Operations,1
AST-5012,Servers,Servers Model X-568,461,11124.99,5128620.97,Singapore DC,IN_USE,2024-12-23,Executive,1
AST-5013,Monitors,Monitors Model A-345,202,12580.13,2541185.44,SF Office,AVAILABLE,2024-11-17,Compliance,1
AST-5014,Peripherals,Peripherals Model Lite-843,342,16494.59,5641149.63,SF Office,MAINTENANCE,2024-07-29,Compliance,1
AST-5015,Monitors,Monitors Model A-616,189,1391.46,262985.46,London Office,MAINTENANCE,2024-08-18,HR,1
AST-5016,Peripherals,Peripherals Model X-127,107,9116.57,975473.13,NYC HQ,MAINTENANCE,2024-07-14,Legal,1
AST-5017,Office Supplies,Office Supplies Model A-110,439,3511.35,1541481.98,London Office,IN_USE,2024-12-29,HR,1
AST-5018,Software Licenses,Software Licenses Model X-572,344,13479.94,4637098.8,NYC HQ,IN_USE,2024-10-07,Operations,1
AST-5019,Mobile Devices,Mobile Devices Model C-961,72,8482.12,610712.45,SF Office,IN_USE,2024-01-10,Executive,1
AST-5020,Monitors,Monitors Model Pro-859,91,5305.19,482772.44,Singapore DC,IN_USE,2024-02-09,Engineering,1
AST-5021,Peripherals,Peripherals Model B-321,79,7940.23,627278.48,NYC HQ,DECOMMISSIONED,2024-04-20,Marketing,1
AST-5022,Laptops,Laptops Model Pro-756,429,11431.71,4904201.68,NYC HQ,MAINTENANCE,2024-12-19,Sales,1
AST-5023,Mobile Devices,Mobile Devices Model A-890,27,10773.72,290890.53,Singapore DC,IN_USE,2024-05-07,Legal,1
AST-5024,Network Equipment,Network Equipment Model X-128,103,1658.58,170834.25,NYC HQ,AVAILABLE,2024-04-08,Finance,1
AST-5025,Network Equipment,Network Equipment Model Lite-271,491,15882.91,7798511.14,SF Office,IN_USE,2024-07-31,Compliance,1
AST-5026,Monitors,Monitors Model Pro-741,418,5898.64,2465631.21,SF Office,DECOMMISSIONED,2024-04-16,Compliance,1
AST-5027,Office Supplies,Office Supplies Model B-318,481,7710.43,3708715.44,NYC HQ,AVAILABLE,2024-06-14,HR,1
AST-5028,Laptops,Laptops Model A-498,206,11777.06,2426074.31,SF Office,MAINTENANCE,2024-04-22,Finance,1
AST-5029,Peripherals,Peripherals Model A-168,333,11236.01,3741591.48,SF Office,MAINTENANCE,2024-06-03,Executive,1
AST-5030,Mobile Devices,Mobile Devices Model Pro-275,53,12829.87,679983.22,London Office,IN_USE,2024-11-03,Legal,1
AST-5031,Office Supplies,Office Supplies Model Lite-236,348,16643.09,5791796.34,London Office,IN_USE,2024-11-21,Legal,1
AST-5032,Mobile Devices,Mobile Devices Model Pro-699,35,6041.87,211465.36,Singapore DC,MAINTENANCE,2024-09-18,Operations,1
AST-5033,Security Hardware,Security Hardware Model A-338,301,12687.75,3819014.23,NYC HQ,DECOMMISSIONED,2024-03-04,Sales,1
AST-5034,Network Equipment,Network Equipment Model B-734,378,7721.53,2918739.93,NYC HQ,IN_USE,2024-03-11,Legal,1
AST-5035,Mobile Devices,Mobile Devices Model X-309,152,3648.18,554523.66,NYC HQ,IN_USE,2024-11-02,Marketing,1
AST-5036,Software Licenses,Software Licenses Model Lite-905,69,5017.1,346180.18,NYC HQ,DECOMMISSIONED,2024-07-31,Sales,1
AST-5037,Laptops,Laptops Model C-450,118,15247.12,1799160.54,SF Office,IN_USE,2024-10-03,Engineering,1
AST-5038,Network Equipment,Network Equipment Model Lite-327,411,12376.99,5086941.6,Mumbai Office,MAINTENANCE,2024-09-23,Legal,1
AST-5039,Servers,Servers Model A-990,227,11341.64,2574551.94,Singapore DC,IN_USE,2024-04-08,Engineering,1
AST-5040,Servers,Servers Model A-277,481,3687.9,1773878.42,Mumbai Office,DECOMMISSIONED,2024-04-14,Operations,1
AST-5041,Security Hardware,Security Hardware Model X-418,41,7680.92,314917.85,SF Office,IN_USE,2024-05-05,IT,1
AST-5042,Servers,Servers Model C-690,311,4492.72,1397234.43,Singapore DC,IN_USE,2024-05-19,Marketing,1
AST-5043,Monitors,Monitors Model X-486,487,17506.41,8525619.37,SF Office,MAINTENANCE,2024-08-13,IT,1
AST-5044,Security Hardware,Security Hardware Model B-939,313,13232.68,4141829.45,Singapore DC,IN_USE,2024-07-14,IT,1
AST-5045,Monitors,Monitors Model C-709,389,16317.63,6347557.99,Mumbai Office,IN_USE,2024-10-10,HR,1
AST-5046,Peripherals,Peripherals Model X-390,195,8353.77,1628984.65,Singapore DC,DECOMMISSIONED,2024-11-06,Marketing,1
AST-5047,Monitors,Monitors Model X-300,171,2472.76,422842.72,SF Office,IN_USE,2024-01-03,Engineering,1
AST-5048,Security Hardware,Security Hardware Model X-514,374,13060.34,4884565.88,Singapore DC,MAINTENANCE,2024-07-10,IT,1
AST-5049,Mobile Devices,Mobile Devices Model Pro-172,158,11544.26,1823993.28,Singapore DC,IN_USE,2024-03-04,IT,1
AST-5050,Data Center Assets,Data Center Assets Model X-361,84,3508.19,294688.31,London Office,DECOMMISSIONED,2024-12-29,Marketing,1
AST-5051,Software Licenses,Software Licenses Model X-534,357,1052.82,375855.86,SF Office,IN_USE,2024-09-01,Engineering,1
AST-5052,Software Licenses,Software Licenses Model A-814,324,12722.46,4122077.95,SF Office,AVAILABLE,2024-11-05,Marketing,1
AST-5053,Servers,Servers Model Pro-778,131,4464.76,584882.93,SF Office,IN_USE,2024-02-29,Finance,1
AST-5054,Office Supplies,Office Supplies Model A-630,204,12713.66,2593587.63,SF Office,MAINTENANCE,2024-03-25,IT,1
AST-5055,Peripherals,Peripherals Model Pro-774,355,5450.42,1934898.71,Singapore DC,DECOMMISSIONED,2024-06-06,IT,1
AST-5056,Monitors,Monitors Model C-933,56,11456.7,641575.3,SF Office,AVAILABLE,2024-04-17,IT,1
AST-5057,Peripherals,Peripherals Model X-101,4,17766.65,71066.61,NYC HQ,IN_USE,2024-12-22,IT,1
AST-5058,Security Hardware,Security Hardware Model Lite-541,214,11786.56,2522324.62,SF Office,IN_USE,2024-07-10,HR,1
AST-5059,Servers,Servers Model Pro-212,102,8764.19,893946.93,Singapore DC,DECOMMISSIONED,2024-04-18,HR,1
AST-5060,Network Equipment,Network Equipment Model B-365,31,13502.23,418569.27,Singapore DC,MAINTENANCE,2024-11-16,Executive,1
AST-5061,Monitors,Monitors Model A-400,445,11461.26,5100260.26,NYC HQ,MAINTENANCE,2024-03-04,Sales,1
AST-5062,Monitors,Monitors Model B-589,176,548.55,96545.63,Singapore DC,IN_USE,2024-01-05,Engineering,1
AST-5063,Peripherals,Peripherals Model Lite-696,385,17194.52,6619889.81,NYC HQ,IN_USE,2024-04-18,Compliance,1
AST-5064,Laptops,Laptops Model C-597,193,10859.68,2095918.8,Singapore DC,AVAILABLE,2024-11-05,IT,1
AST-5065,Software Licenses,Software Licenses Model C-422,190,12278.25,2332867.9,SF Office,AVAILABLE,2024-12-06,IT,1
AST-5066,Office Supplies,Office Supplies Model C-994,313,1044.49,326925.11,London Office,IN_USE,2024-01-02,Marketing,1
AST-5067,Office Supplies,Office Supplies Model B-126,372,15040.05,5594898.43,Mumbai Office,IN_USE,2024-09-28,Sales,1
AST-5068,Network Equipment,Network Equipment Model Lite-774,189,8142.75,1538979.11,Singapore DC,DECOMMISSIONED,2024-07-30,Operations,1
AST-5069,Laptops,Laptops Model C-117,327,17236.49,5636330.71,London Office,IN_USE,2024-06-15,Marketing,1
AST-5070,Network Equipment,Network Equipment Model Lite-727,311,8729.38,2714837.97,NYC HQ,AVAILABLE,2024-08-07,Marketing,1
AST-5071,Monitors,Monitors Model Pro-299,376,6936.68,2608192.02,SF Office,DECOMMISSIONED,2024-10-19,Compliance,1
AST-5072,Laptops,Laptops Model A-408,66,8970.18,592032.02,Mumbai Office,MAINTENANCE,2024-03-27,Marketing,1
AST-5073,Monitors,Monitors Model B-349,247,11932.62,2947356.73,SF Office,IN_USE,2024-12-03,Finance,1
AST-5074,Monitors,Monitors Model A-264,223,17880.61,3987375.15,London Office,MAINTENANCE,2024-05-23,Operations,1
