year,quarter,region,sales_target,actual_sales,variance_pct,kpi_status,clearance_level
2022,Q1,East,2240975,1797991,-19.77,UNDER_PERFORMED,1
2022,Q1,West,2455144,2158719,-12.07,UNDER_PERFORMED,1
2022,Q1,North,1368106,1115803,-18.44,UNDER_PERFORMED,1
2022,Q1,South,1114947,1190817,6.8,EXCEEDED,1
2022,Q1,Central,2043716,1616295,-20.91,UNDER_PERFORMED,1
2022,Q1,APAC,1784834,1365287,-23.51,UNDER_PERFORMED,1
2022,Q1,EMEA,1096493,935045,-14.72,UNDER_PERFORMED,1
2022,Q2,East,1959806,2024379,3.29,MET,1
2022,Q2,West,2077016,1751866,-15.65,UNDER_PERFORMED,1
2022,Q2,North,2262906,2443084,7.96,EXCEEDED,1
2022,Q2,South,1779796,1519246,-14.64,UNDER_PERFORMED,1
2022,Q2,Central,2135779,1881086,-11.93,UNDER_PERFORMED,1
2022,Q2,APAC,913628,1011056,10.66,EXCEEDED,1
2022,Q2,EMEA,1234829,1331300,7.81,EXCEEDED,1
2022,Q3,East,1613557,1420897,-11.94,UNDER_PERFORMED,1
2022,Q3,West,1351545,1621705,19.99,EXCEEDED,1
2022,Q3,North,1605889,1281561,-20.2,UNDER_PERFORMED,1
2022,Q3,South,1696765,1349703,-20.45,UNDER_PERFORMED,1
2022,Q3,Central,1621327,1676048,3.38,MET,1
2022,Q3,APAC,991122,1083270,9.3,EXCEEDED,1
2022,Q3,EMEA,2024551,1637190,-19.13,UNDER_PERFORMED,1
2022,Q4,East,1693844,1333116,-21.3,UNDER_PERFORMED,1
2022,Q4,West,1514839,1726644,13.98,EXCEEDED,1
2022,Q4,North,2197129,2562209,16.62,EXCEEDED,1
2022,Q4,South,1658403,1693819,2.14,MET,1
2022,Q4,Central,2377594,1860921,-21.73,UNDER_PERFORMED,1
2022,Q4,APAC,2286769,1960017,-14.29,UNDER_PERFORMED,1
2022,Q4,EMEA,1506890,1827939,21.31,EXCEEDED,1
2023,Q1,East,1388197,1606487,15.72,EXCEEDED,1
2023,Q1,West,1697182,1494619,-11.94,UNDER_PERFORMED,1
2023,Q1,North,2233126,2550301,14.2,EXCEEDED,1
2023,Q1,South,1241110,1146767,-7.6,UNDER_PERFORMED,1
2023,Q1,Central,1339368,1426403,6.5,EXCEEDED,1
2023,Q1,APAC,2371823,2823009,19.02,EXCEEDED,1
2023,Q1,EMEA,2259028,1770082,-21.64,UNDER_PERFORMED,1
2023,Q2,East,2231645,1853236,-16.96,UNDER_PERFORMED,1
2023,Q2,West,2429089,2101310,-13.49,UNDER_PERFORMED,1
2023,Q2,North,1869429,1735473,-7.17,UNDER_PERFORMED,1
2023,Q2,South,2242176,2406832,7.34,EXCEEDED,1
2023,Q2,Central,1360566,1458212,7.18,EXCEEDED,1
2023,Q2,APAC,1017310,872498,-14.23,UNDER_PERFORMED,1
2023,Q2,EMEA,967319,1091495,12.84,EXCEEDED,1
2023,Q3,East,1741303,1525099,-12.42,UNDER_PERFORMED,1
2023,Q3,West,1342463,1582997,17.92,EXCEEDED,1
2023,Q3,North,2089462,2427730,16.19,EXCEEDED,1
2023,Q3,South,1559927,1325835,-15.01,UNDER_PERFORMED,1
2023,Q3,Central,1946963,1822254,-6.41,UNDER_PERFORMED,1
2023,Q3,APAC,2248158,2170957,-3.43,MET,1
2023,Q3,EMEA,1455493,1187138,-18.44,UNDER_PERFORMED,1
2023,Q4,East,2462355,2496441,1.38,MET,1
2023,Q4,West,1451009,1597700,10.11,EXCEEDED,1
2023,Q4,North,1798490,2107788,17.2,EXCEEDED,1
2023,Q4,South,1737603,1598835,-7.99,UNDER_PERFORMED,1
2023,Q4,Central,1190102,1177578,-1.05,MET,1
2023,Q4,APAC,1090650,1205405,10.52,EXCEEDED,1
2023,Q4,EMEA,1129950,928632,-17.82,UNDER_PERFORMED,1
2024,Q1,East,1235506,1386580,12.23,EXCEEDED,1
2024,Q1,West,1785333,1839450,3.03,MET,1
2024,Q1,North,1706915,1586340,-7.06,UNDER_PERFORMED,1
2024,Q1,South,1881571,1879094,-0.13,MET,1
